name,state,party,constituency,attendance,debates,questions,attendance_norm,debates_norm,questions_norm,LCI_score,national_rank,state_rank,party_rank,percentile,silent_flag,engagement_index
Navaskani K,Tamil Nadu,Indian Union Muslim League,Ramanathapuram,0.863247863,183.0,185.0,0.00863247863,1.0,0.7283464566929134,0.521956928459874,1.0,1.0,1.0,100.0,False,368.0
Shrirang Appa Chandu Barne,Maharashtra,Shiv Sena,Maval,0.948717949,49.0,230.0,0.009487179489999999,0.2677595628415301,0.905511811023622,0.3557762839555456,2.0,1.0,1.0,99.81617647058823,False,279.0
Smita Uday Wagh,Maharashtra,Bharatiya Janata Party,Jalgaon,0.957264957,44.0,232.0,0.009572649570000001,0.24043715846994534,0.9133858267716536,0.34997595540047965,3.0,2.0,1.0,99.63235294117648,False,276.0
Praveen Patel,Uttar Pradesh,Bharatiya Janata Party,Phulpur,0.957264957,28.0,254.0,0.009572649570000001,0.15300546448087432,1.0,0.3497306991722623,4.0,1.0,2.0,99.44852941176471,False,282.0
Jagdambika Pal,Uttar Pradesh,Bharatiya Janata Party,Domariyaganj,1.0,98.0,152.0,0.01,0.5355191256830601,0.5984251968503937,0.3441832967600361,5.0,2.0,3.0,99.26470588235294,False,250.0
Supriya Sule,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Baramati,0.957264957,66.0,188.0,0.009572649570000001,0.36065573770491804,0.7401574803149606,0.3340730252339636,6.0,3.0,1.0,99.08088235294117,False,254.0
Bhartruhari Mahtab,Odisha,Bharatiya Janata Party,Cuttack,0.931623932,41.0,221.0,0.009316239320000001,0.22404371584699453,0.8700787401574803,0.33196323252934246,7.0,1.0,4.0,98.89705882352942,False,262.0
P P Chaudhary,Rajasthan,Bharatiya Janata Party,Pali,0.982905983,39.0,223.0,0.00982905983,0.21311475409836064,0.8779527559055118,0.3312518769331617,8.0,1.0,5.0,98.71323529411765,False,262.0
Bidyut Baran Mahato,Jharkhand,Bharatiya Janata Party,Jamshedpur,0.991452991,34.0,227.0,0.009914529909999999,0.18579234972677597,0.8937007874015748,0.3278137531025052,9.0,1.0,6.0,98.52941176470588,False,261.0
Dilip Saikia,Assam,Bharatiya Janata Party,Darang Udalguri,0.914529915,50.0,204.0,0.009145299150000001,0.273224043715847,0.8031496062992126,0.32657021466451785,10.0,1.0,7.0,98.34558823529412,False,254.0
Naresh Ganpat Mhaske,Maharashtra,Shiv Sena,Thane,0.957264957,41.0,209.0,0.009572649570000001,0.22404371584699453,0.8228346456692913,0.3178925682828857,11.0,4.0,2.0,98.16176470588235,False,250.0
Khagen Murmu,West Bengal,Bharatiya Janata Party,Maldaha Uttar,1.0,28.0,223.0,0.01,0.15300546448087432,0.8779527559055118,0.3132874661159158,12.0,1.0,8.0,97.97794117647058,False,251.0
Nishikant Dubey,Jharkhand,Bharatiya Janata Party,Godda,1.0,56.0,183.0,0.01,0.30601092896174864,0.7204724409448819,0.3119450109719892,13.0,2.0,9.0,97.79411764705883,False,239.0
Hemant Vishnu Savara,Maharashtra,Bharatiya Janata Party,Palghar,0.974358974,31.0,217.0,0.009743589740000001,0.16939890710382513,0.8543307086614174,0.3110163206255727,14.0,5.0,10.0,97.61029411764706,False,248.0
C N Annadurai,Tamil Nadu,Dravida Munnetra Kazhagam,Tiruvannamalai,0.760683761,35.0,208.0,0.00760683761,0.1912568306010929,0.8188976377952756,0.30608907556291054,15.0,2.0,1.0,97.42647058823529,False,243.0
