name,state,party,constituency,attendance,debates,questions
Bhupathiraju Srinivasa Varma,Andhra Pradesh,Bharatiya Janata Party,Narsapuram,0.0,0.0,0.0
Byreddy Shabari,Andhra Pradesh,Telugu Desam Party,Nandyal,0.897435897,14.0,137.0
Chandra Sekhar Pemmasani,Andhra Pradesh,Telugu Desam Party,Guntur,0.0,0.0,0.0
G M Harish Balayogi,Andhra Pradesh,Telugu Desam Party,Amalapuram,0.982905983,24.0,144.0
Krishna Prasad Tenneti,Andhra Pradesh,Telugu Desam Party,Bapatla,0.897435897,20.0,146.0
Lavu Sri Krishna Devarayalu,Andhra Pradesh,Telugu Desam Party,Narsaraopet,0.897435897,37.0,148.0
Maddila Gurumoorthy,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Thirupati,0.94017094,29.0,119.0
Putta Mahesh Kumar,Andhra Pradesh,Telugu Desam Party,Eluru,0.854700855,9.0,138.0
Kinjarapu Rammohan Naidu,Andhra Pradesh,Telugu Desam Party,Srikakulam,0.0,0.0,0.0
Kiren Rijiju,Arunachal Pradesh,Bharatiya Janata Party,Arunachal West,0.0,0.0,0.0
Amarsing Tisso,Assam,Bharatiya Janata Party,Diphu,0.957264957,1.0,54.0
Sarbananda Sonowal,Assam,Bharatiya Janata Party,Dibrugarh,0.0,0.0,0.0
Alok Kumar Suman,Bihar,Janata Dal (United),Gopalganj,0.991452991,43.0,121.0
Arun Bharti,Bihar,Lok Janshakti Party (Ram Vilas),Jamui,0.794871795,15.0,118.0
Chirag Paswan,Bihar,Lok Janshakti Party (Ram Vilas),Hajipur,0.0,0.0,0.0
Giriraj Singh,Bihar,Bharatiya Janata Party,Begusarai,0.0,0.0,0.0
Janardan Singh Sigriwal,Bihar,Bharatiya Janata Party,Maharajganj,1.0,31.0,132.0
Jitan Ram Manjhi,Bihar,Hindustani Awam Morcha (Secular),Gaya,0.0,0.0,0.0
Nityanand Rai,Bihar,Bharatiya Janata Party,Ujiarpur,0.0,0.0,0.0
Raj Bhushan Choudhary,Bihar,Bharatiya Janata Party,Muzaffarpur,0.0,0.0,0.0
Rajiv Pratap Rudy,Bihar,Bharatiya Janata Party,Saran,0.965811966,21.0,96.0
Rajiv Ranjan Singh,Bihar,Janata Dal (United),Munger,0.0,0.0,0.0
Shambhavi,Bihar,Lok Janshakti Party (Ram Vilas),Samastipur,0.948717949,33.0,154.0
Tokhan Sahu,Chhattisgarh,Bharatiya Janata Party,Bilaspur,0.0,0.0,0.0
Viriato Fernandes,Goa,Indian National Congress,South Goa,0.846153846,23.0,68.0
Shripad Yesso Naik,Goa,Bharatiya Janata Party,North Goa,0.0,0.0,0.0
Amit Shah,Gujarat,Bharatiya Janata Party,Gandhinagar,0.0,0.0,0.0
Chandrakant Raghunath Patil,Gujarat,Bharatiya Janata Party,Navsari,0.0,0.0,0.0
Mansukh Mandaviya,Gujarat,Bharatiya Janata Party,Porbandar,0.0,0.0,0.0
Nimuben Jayantibhai Bambhaniya,Gujarat,Bharatiya Janata Party,Bhavnagar,0.0,0.0,0.0
Parshottambhai Rupala,Gujarat,Bharatiya Janata Party,Rajkot,0.965811966,5.0,107.0
Rao Inderjit Singh,Haryana,Bharatiya Janata Party,Gurgaon,0.0,0.0,0.0
Krishan Pal Gurjar,Haryana,Bharatiya Janata Party,Faridabad,0.0,0.0,0.0
Manohar Lal,Haryana,Bharatiya Janata Party,Karnal,0.0,0.0,0.0
Jitendra Singh,Jammu and Kashmir,Bharatiya Janata Party,Udhampur,0.0,0.0,0.0
Annpurna Devi,Jharkhand,Bharatiya Janata Party,Kodarma,0.0,0.0,0.0
Bidyut Baran Mahato,Jharkhand,Bharatiya Janata Party,Jamshedpur,0.991452991,34.0,227.0
Nishikant Dubey,Jharkhand,Bharatiya Janata Party,Godda,1.0,56.0,183.0
Sanjay Seth,Jharkhand,Bharatiya Janata Party,Ranchi,0.0,0.0,0.0
Vishnu Dayal Ram,Jharkhand,Bharatiya Janata Party,Palamau,0.982905983,31.0,167.0
H D Kumaraswamy,Karnataka,Janata Dal (Secular),Mandya,0.0,0.0,0.0
K Sudhakar,Karnataka,Bharatiya Janata Party,Chikkballapur,0.914529915,28.0,163.0
Pralhad Joshi,Karnataka,Bharatiya Janata Party,Dharwad,0.0,0.0,0.0
Shobha Karandlaje,Karnataka,Bharatiya Janata Party,Bangalore North,0.0,0.0,0.0
V Somanna,Karnataka,Bharatiya Janata Party,Tumkur,0.0,0.0,0.0
Benny Behanan,Kerala,Indian National Congress,Chalakudy,0.854700855,25.0,137.0
Dean Kuriakose,Kerala,Indian National Congress,Idukki,0.871794872,44.0,146.0
E T Mohammed Basheer,Kerala,Indian Union Muslim League,Malappuram,0.931623932,37.0,93.0
Hibi Eden,Kerala,Indian National Congress,Ernakulam,0.905982906,43.0,108.0
N K Premachandran,Kerala,Revolutionary Socialist Party,Kollam,0.905982906,80.0,92.0
Shafi Parambil,Kerala,Indian National Congress,Vadakara,0.752136752,15.0,113.0
Shashi Tharoor,Kerala,Indian National Congress,Thiruvananthapuram,0.923076923,30.0,106.0
Suresh Gopi,Kerala,Bharatiya Janata Party,Thrissur,0.0,0.0,0.0
Adoor Prakash,Kerala,Indian National Congress,Attingal,0.846153846,28.0,152.0
V K Sreekandan,Kerala,Indian National Congress,Palakkad,0.897435897,31.0,128.0
Bharti Pardhi,Madhya Pradesh,Bharatiya Janata Party,Balaghat,0.957264957,33.0,191.0
Darshan Singh Choudhary,Madhya Pradesh,Bharatiya Janata Party,Hoshangabad,0.94017094,34.0,102.0
Durgadas D D Uikey,Madhya Pradesh,Bharatiya Janata Party,Betul,0.0,0.0,0.0
Ganesh Singh,Madhya Pradesh,Bharatiya Janata Party,Satna,0.923076923,29.0,105.0
Jyotiraditya M Scindia,Madhya Pradesh,Bharatiya Janata Party,Guna,0.0,0.0,0.0
Savitri Thakur,Madhya Pradesh,Bharatiya Janata Party,Dhar,0.0,0.0,0.0
Shivraj Singh Chouhan,Madhya Pradesh,Bharatiya Janata Party,Vidisha,0.0,0.0,0.0
Virendra Kumar,Madhya Pradesh,Bharatiya Janata Party,Tikamgarh,0.0,0.0,0.0
Gowaal Kagada Padavi,Maharashtra,Indian National Congress,Nandurbar,0.957264957,38.0,106.0
Anup Sanjay Dhotre,Maharashtra,Bharatiya Janata Party,Akola,1.0,24.0,120.0
Arvind Ganpat Sawant,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Mumbai South,0.991452991,47.0,172.0
