name,attendance,debates,questions,attendance_norm,debates_norm,questions_norm,LCI_score,rank
D M Kathir Anand,86,41,125,0.8775510204081632,1.0,0.6157635467980296,83.57,1.0
Shrikant Eknath Shinde,78,27,203,0.7959183673469388,0.6585365853658537,1.0,81.59,2.0
Shobhanaben Mahendrasinh Baraiya,98,15,173,1.0,0.36585365853658536,0.8522167487684729,76.54,3.0
Gaurav Gogoi,85,29,117,0.8673469387755102,0.7073170731707317,0.5763546798029556,73.2,4.0
Bibhu Prasad Tarai,93,14,141,0.9489795918367347,0.34146341463414637,0.6945812807881774,69.04,5.0
Haribhai Patel,97,13,99,0.9897959183673469,0.3170731707317073,0.4876847290640394,63.73,6.0
Jai Parkash,97,5,43,0.9897959183673469,0.12195121951219512,0.21182266009852216,49.61,7.0
Amarsing Tisso,96,1,54,0.9795918367346939,0.024390243902439025,0.2660098522167488,47.9,8.0
Sarbananda Sonowal,0,0,0,0.0,0.0,0.0,0.0,9.0
Ajay Tamta,0,0,0,0.0,0.0,0.0,0.0,9.0
